value  enum
#include  60
<stdio.h>  62
// This is a "demo"
  58
/* This is a demo */  59
void  10
f  0
(  50
)  51
{  48
return  20
;  55
}  49
int  6
main  21
(  50
)  51
{  48
int  6
num1  0
=  42
2022  3
;  55
float  11
num2  0
=  42
3.10  4
;  55
double  12
num3  0
=  42
123.456  4
;  55
double  12
numScience  0
=  42
-321.1e-5  5
;  55
double  12
numScience  0
=  42
+321.1e+6  5
;  55
int  6
int1  0
=  42
1  3
;  55
char  9
ch  0
=  42
'a'  1
;  55
if  13
(  50
1  3
)  51
{  48
printf  0
(  50
"hello world!\n"  2
)  51
;  55
}  49
else  14
{  48
while  16
(  50
1  3
)  51
{  48
break  19
;  55
}  49
for  15
(  50
;  55
;  55
)  51
{  48
continue  18
;  55
}  49
}  49
return  20
0  3
;  55
}  49
